01 14 01;1;" ";01;14;01;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;ALPE-027/1;698.000000000;FILM ESTENSIBILE BOBINA EUROSTRECH - MANUALE 23 MY - 50 CM.- 2,4 KG.
01 14 02;1;" ";01;14;02;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 14 03;1;" ";01;14;03;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 14 04;1;" ";01;14;04;" ";S;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 15 01;1;" ";01;15;01;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 15 02;1;" ";01;15;02;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 15 03;1;" ";01;15;03;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 15 04;1;" ";01;15;04;" ";S;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 16 01;1;" ";01;16;01;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 16 02;1;" ";01;16;02;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 16 03;1;" ";01;16;03;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 16 04;1;" ";01;16;04;" ";S;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 17 01;1;" ";01;17;01;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 17 02;1;" ";01;17;02;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 17 03;1;" ";01;17;03;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 17 04;1;" ";01;17;04;" ";S;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 18 01;1;" ";01;18;01;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 18 02;1;" ";01;18;02;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 18 03;1;" ";01;18;03;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 18 04;1;" ";01;18;04;" ";S;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 19 01;1;" ";01;19;01;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 19 02;1;" ";01;19;02;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 19 03;1;" ";01;19;03;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 19 04;1;" ";01;19;04;" ";S;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 20 01;1;" ";01;20;01;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 20 02;1;" ";01;20;02;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 20 03;1;" ";01;20;03;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 20 04;1;" ";01;20;04;" ";S;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 21 01;1;" ";01;21;01;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 21 02;1;" ";01;21;02;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 21 03;1;" ";01;21;03;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 21 04;1;" ";01;21;04;" ";S;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 22 02;1;" ";01;22;02;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 22 03;1;" ";01;22;03;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 22 04;1;" ";01;22;04;" ";S;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 23 01;1;" ";01;23;01;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 23 02;1;" ";01;23;02;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 23 03;1;" ";01;23;03;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 23 04;1;" ";01;23;04;" ";S;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 24 01;1;" ";01;24;01;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 24 02;1;" ";01;24;02;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 24 03;1;" ";01;24;03;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 24 04;1;" ";01;24;04;" ";S;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 25 01;1;" ";01;25;01;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 25 02;1;" ";01;25;02;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 25 03;1;" ";01;25;03;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 25 04;1;" ";01;25;04;" ";S;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 26 01;1;" ";01;26;01;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 26 02;1;" ";01;26;02;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 26 03;1;" ";01;26;03;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 26 04;1;" ";01;26;04;" ";S;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 27 01;1;" ";01;27;01;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 27 02;1;" ";01;27;02;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 27 03;1;" ";01;27;03;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 27 04;1;" ";01;27;04;" ";S;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 28 01;1;" ";01;28;01;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 28 02;1;" ";01;28;02;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 28 03;1;" ";01;28;03;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 28 04;1;" ";01;28;04;" ";S;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 29 01;1;" ";01;29;01;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 29 02;1;" ";01;29;02;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 29 03;1;" ";01;29;03;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 29 04;1;" ";01;29;04;" ";S;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
